method,date,proportion_of_files_available,species,ten_minute,sixty_minute
weir,8/14/2017,1,chum,6,10
weir,8/15/2017,1,chum,6,9
weir,8/16/2017,1,chum,0,2
weir,8/17/2017,1,chum,6,5
weir,8/18/2017,0.9,chum,0,7
weir,8/19/2017,1,chum,6,3
weir,8/20/2017,1,chum,6,6
weir,8/21/2017,1,chum,12,13
weir,8/22/2017,1,chum,7,15
weir,8/23/2017,1,chum,30,16
weir,8/24/2017,1,chum,12,10
weir,8/25/2017,1,chum,7,15
weir,8/26/2017,1,chum,14,15
weir,8/27/2017,1,chum,12,16
weir,8/28/2017,1,chum,18,23
weir,8/29/2017,1,chum,18,15
weir,8/30/2017,1,chum,13,13
weir,8/31/2017,0.83,chum,48,31
weir,9/1/2017,0.66,chum,61,31
weir,9/2/2017,1,chum,18,21
weir,9/3/2017,1,chum,18,6
weir,9/4/2017,1,chum,6,4
weir,9/5/2017,1,chum,12,8
weir,9/6/2017,1,chum,6,8
weir,8/10/2017,0.83,dolly varden,12,9
weir,8/11/2017,0.92,dolly varden,0,2
weir,8/12/2017,1,dolly varden,12,8
weir,8/13/2017,0.81,dolly varden,18,10
weir,8/14/2017,1,dolly varden,24,17
weir,8/15/2017,1,dolly varden,30,22
weir,8/16/2017,1,dolly varden,18,15
weir,8/17/2017,1,dolly varden,10,12
weir,8/18/2017,0.9,dolly varden,36,28
weir,8/19/2017,1,dolly varden,12,10
weir,8/20/2017,1,dolly varden,12,20
weir,8/21/2017,1,dolly varden,18,10
weir,8/22/2017,1,dolly varden,6,1
weir,8/23/2017,1,dolly varden,0,2
weir,8/24/2017,1,dolly varden,24,14
weir,8/25/2017,1,dolly varden,1,4
weir,8/26/2017,1,dolly varden,30,10
weir,8/27/2017,1,dolly varden,24,12
weir,8/28/2017,1,dolly varden,6,4
weir,8/29/2017,1,dolly varden,12,14
weir,8/30/2017,1,dolly varden,0,13
weir,8/31/2017,0.83,dolly varden,6,4
weir,9/1/2017,0.66,dolly varden,11,8
weir,9/2/2017,1,dolly varden,0,5
weir,9/3/2017,1,dolly varden,12,8
weir,9/4/2017,1,dolly varden,12,7
weir,9/5/2017,1,dolly varden,6,14
weir,9/6/2017,1,dolly varden,0,17
